MessageID,EmailTextNoNames
199bef6c965b2f9f,"Good morning REMOVED,
 
 Your email was forwarded to us by REMOVEDs. Christina. To help us better understand
 which age program you are interested in, please visit our website and complete a
 profile demographic form. This will provide us with the information we need and
 allow you to schedule a tour of our facility.
 
 Once you’ve completed the profile, our system will notify us, and we’ll be able
 to share more specific details regarding availability and potential start dates.
 
 Please let us know if you have any questions or need assistance completing the
 form.
 
 Looking forward to hearing from you.
 
 Gayle Nicholas-Dortch
 
 Executive Director
 
 14230 Spartina Ct
 
 Jacksonville, FL 32224
 
 Tel (904) 821-0085
 
 Fax (386) 675-0828
 
 From: Jacksonville II, FL - The Goddard School
 <Jacksonville2FL@goddardschools.com>
 Sent: Tuesday, October 7, 2025 8:58 AM
 To: gayle <gayle@jaxgs.com>; jenni <jenni@jaxgs.com>; kat <kat@jaxgs.com>
 Subject: Fwd: Enrollment question
 
 Sent from my iPhone
 
 Begin forwarded message:
 
  From: REMOVED@the-millerfamily.com
  Date: October 6, 2025 at 7:46:11 PM EDT
  To: cregister@jaxgs.com
  Subject: Enrollment question
 
  Hello,
 
  I realize this is short notice. I should have done this earlier, but I just
  forgot. We are looking for childcare options for our three year old. When
  might a spot open up? Also, can we schedule an appointment with you to
  discuss?
 
  My REMOVED REMOVED and I look forward to hearing from you.
 
  Thanks,
  REMOVED"
199ac4c5e6ebe792,"Good afternoon:
 Hope this email finds you well.
 We have spots available, could you provide us your phone number?
 Sunny Center
 
 CAMBIEMOS VIDAS JUNTOS / LET'S CHANGE LIVES TOGETHER
 On Fri, Oct 3, 2025 at 1:41 PM <REMOVED@the-millerfamily.com> wrote:
 
  Hello,
 
  I realize this is short notice. Our daycare just closed unexpectedly, and we
  are looking for childcare options for our three year old. When might a spot
  open up? Also, can we schedule an appointment with you to discuss?
 
  My REMOVED REMOVED and I look forward to hearing from you.
 
  Thanks,
  REMOVED"
199b9e94750d76e1,"Hi REMOVED,
 Thanks for reaching out. We do not have programming for children under 5. Please
 consider using this resource to find programming for your three year old in
 Cambridge:
 
 https://www.finditcambridge.org/services/early-childhood-opportunities
 Ashley Yee
 she/her/hers
 Director of Talent and Operations
 Maria L. Baldwin Community Center
 (fka) Agassiz Baldwin Community | Maud Morgan Arts
 Direct Line: 617.329.1856
 Main Office: 617.349.6287
 Link to Schedule a Meeting or Interview
 
 ------------------------------------------------------------
 
 This email and any files transmitted with it are confidential and intended
 solely for the use of the individual or entity to whom they are addressed.
 
 ------------------------------------------------------------
 
 On Sat, Oct 4, 2025 at 8:30 PM <REMOVED@the-millerfamily.com> wrote:
 
  Hello,
 
  I realize this is short notice. I should have done this earlier, but I just
  forgot. We are looking for childcare options for our three year old. When
  might a spot open up? Also, can we schedule an appointment with you to
  discuss?
 
  My REMOVED REMOVED and I look forward to hearing from you.
 
  Thanks,
  REMOVED"
199c48dadfe338de,"Hello again! I’m doing interviews for this last spot, so please let me know if
 you are interested so we can get together soon and talk in person. My next open
 spots won’t be until August 2026 when my then 4.5 years olds leave for
 kindergarten.
 Thanks, Lori
 On Tue, Oct 7, 2025 at 3:10 PM Lori Rogers <lorirogs76@gmail.com> wrote:
 
  Hello, I am so sorry your daycare closed down, seems like a lot are closing
  down and quickly.
  I have 1 spot that came available to start as early as 10/14. I’m open from
  7:30-5:30 and provide all food and milk with lunch. Nap time is between
  12-3pm. Drop off is between 7:30-9am and pick ups are between 3-5:30pm. We do
  many activities in the morning and even go to the park that’s next door while
  our back yard is getting new fencing and grass. I do have dogs but they don’t
  interact with the kids (Basset Hounds sleep all day) and my old cats just stay
  away.
  The kids have cubbies that hold extra clothes, diapers and their nap blanket.
  I’ll let you know when I need anything with plenty of notice. I do help with
  potty training as long as parents have started at home first.
  How did you hear about my daycare?
  Lori
  On Tue, Oct 7, 2025 at 1:57 PM <REMOVED@the-johnsonfamily.com> wrote:
 
  Hello,
 
  I realize this is short notice. Our daycare just closed unexpectedly, and we
  are looking for childcare options for our three year old. When might a spot
  open up? Also, can we schedule an appointment with you to discuss?
 
  My REMOVED REMOVED and I look forward to hearing from you.
 
  Thanks,
  REMOVED"
199c4b6f1144cfe9,"I have one spot available when would you like to schedule a tour !
 On Sun, Oct 5, 2025 at 11:54 AM <REMOVED@the-johnsonfamily.com> wrote:
 
  Hello,
 
  I realize this is short notice. I should have done this earlier, but I just
  forgot. We are looking for childcare options for our three year old. When
  might a spot open up? Also, can we schedule an appointment with you to
  discuss?
 
  My REMOVED REMOVED and I look forward to hearing from you.
 
  Thanks,
  REMOVED"
199bbc41d4c85f52,"Hello!
 Thank you for your message. It has been an honor to have been part of the Little
 Owl Community. My last day with Little Owl School was Thursday, July 31, 2025.
 If you have any questions regarding classroom matters, please email Darryl
 Redick, Director of Program, Teaching and learning at
 darrylr@littleowlschool.org.
 For any enrollment questions, please email Grace McGlynn, Director of
 Operations, at gracem@littleowlschool.org
 If you are a student inquiring about practicum placement or classroom
 observations, please email Darryl at darrylr@littleowlschool.org
 For all other questions or concerns, please email littleowl@littleowlschool.org
 and a member of the Little Owl staff will connect you with the appropriate
 person.
 Thank you and have a wonderful day.
 Warm regards,
 Michelle Ramirez"
199ab8a89a0eff96,"Good afternoon, REMOVED.
 
 We have a spot available, so if you would like to discuss or schedule an
 appointment, please give me a call at 732-762-7745. I will provide you with all
 the information you need to consider selecting quality care for your son. I look
 forward to talking with you soon.
 
 Thank you and have a blessed day.
 Divya
 Director
 Small Blessings Child Care Center
 
  On Oct 3, 2025, at 1:26 PM, REMOVED@the-millerfamily.com wrote:
 
  Hello,
 
  I realize this is short notice. Our daycare just closed unexpectedly, and we
  are looking for childcare options for our three year old. When might a spot
  open up? Also, can we schedule an appointment with you to discuss?
 
  My REMOVED REMOVED and I look forward to hearing from you.
 
  Thanks,
  REMOVED"
199ba858f69f48ec,"Hi REMOVED
 We are full for this school year but are always taking information for
 enrollment in the event something changes.
 We begin enrollment in January for families already here. And then we begin from
 our wait list. Please call 566-5070 with any further questions.
 Thank you
 Traci Croteau
 
  On Oct 6, 2025, at 12:26 PM, REMOVED@the-millerfamily.com wrote:
 
  Hello,
 
  I realize this is short notice. Our daycare just closed unexpectedly, and we
  are looking for childcare options for our three year old. When might a spot
  open up? Also, can we schedule an appointment with you to discuss?
 
  My REMOVED REMOVED and I look forward to hearing from you.
 
  Thanks,
  REMOVED"
199b9cf13e891cdf,"Good morning,
 Please call me on my cell phone at your earliest convenience. 870-740-5327
 Thank you,
 Debi Dever
 On Sunday, October 5, 2025 at 01:19:01 PM CDT, REMOVED@the-johnsonfamily.com
 <REMOVED@the-johnsonfamily.com> wrote:
 Hello,
 
 I realize this is short notice. I should have done this earlier, but I just
 forgot. We are looking for childcare options for our three year old. When might
 a spot open up? Also, can we schedule an appointment with you to discuss?
 
 My REMOVED REMOVED and I look forward to hearing from you.
 
 Thanks,
 REMOVED"
199abdade87b67ec,"Hello,
  I am the director at Adventures of the ""A"" team and can answer any questions
 you may have.
 I do have one opening for a 3 year old left.
 I am available for walk throughs at nap which is 12:00-2:00 or after 3:00 M-F
 My cell is 517-262-5649 if you have any questions.😁 I look forward to hearing
 from you. Becky"
199b9cec01ddad9d,"Good Morning REMOVED and REMOVED,
 We currently have space available for your three year old.
 Please let me know a time that works best for you to come in for a tour and we
 can answer any questions that you may have.
 I look forward to hearing from you.
 Samantha
 On Mon, Oct 6, 2025 at 8:54 AM Sand Box Office <office@sandboxchildcare.com>
 wrote:
 
  ---------- Forwarded message ---------
  From: <REMOVED@the-johnsonfamily.com>
  Date: Mon, Oct 6, 2025 at 8:50 AM
  Subject: Enrollment question
  To: <sandboxchildcareoffice@gmail.com>
 
  Hello,
 
  I realize this is short notice. Our daycare just closed unexpectedly, and we
  are looking for childcare options for our three year old. When might a spot
  open up? Also, can we schedule an appointment with you to discuss?
 
  My REMOVED REMOVED and I look forward to hearing from you.
 
  Thanks,
  REMOVED
 
 --
 Samantha Hines, ECMH-E®
 Administrator/Director"
